DatTime,MediaTime,LonAccel,LatAccel,Throttle,Brake,Gear,Heading,HeadwayDistance,HeadwayTime,Lane,LaneOffset,RoadOffset,Steer,Velocity,XPos,YPos,LeadVehPosX,LeadVehPosY,FollowCarBrakingStatus
0.0245,0.133333,0.000574,0.0101765,1.308809,0.0,0,359.999621,91.04718,12695.076787,2.0,0.021679,5.421679,-0.0059215,0.0280375,-741.04718,14.521677,2.310232,1629.744985,0.0
0.057,0.166666,0.0007995000000000001,0.0341295,1.308809,0.0,0,359.99930800000004,91.0449215,947.565918,2.0,0.021674,5.421673999999999,-0.005922500000000001,0.0970605,-741.0449215,14.521671999999999,2.310232,1629.744985,0.0
0.0905,0.2,0.0005505,0.0348845,1.308809,0.0,0,359.99904,91.041473,939.188133,2.0,0.021672,5.421672,-0.005924499999999999,0.09770200000000001,-741.041473,14.52167,2.310232,1629.744985,0.0
0.1235,0.233333,6.05e-05,0.0179355,1.308809,0.0,0,359.9989835,91.03909300000001,2905.4614635000003,2.0,0.021674,5.421673999999999,-0.005925,0.0400455,-741.0390930000001,14.521671999999999,2.310232,1629.744985,0.0
0.157,0.266666,-0.000326,-0.0016604999999999999,1.308809,0.0,0,359.9991495,91.038971,10000.0,2.0,0.021679499999999997,5.4216795,-0.005925,-0.032792,-741.038971,14.5216775,2.310232,1629.744985,0.0
0.1905,0.3,-0.00039650000000000004,-0.008664,1.308809,0.0,0,359.99940749999996,91.040924,10000.0,2.0,0.0216835,5.4216835,-0.005925,-0.075326,-741.040924,14.5216815,2.310232,1629.744985,0.0
0.224,0.333333,-0.000195,0.00021549999999999998,1.308809,0.0,0,359.9995795,91.0434265,10000.0,2.0,0.0216845,5.4216845,-0.005925,-0.0674585,-741.0434265,14.5216825,2.310232,1629.744985,0.0
0.257,0.366666,7.3e-05,0.0163955,1.308809,0.0,0,359.9995665,91.044983,10000.0,2.0,0.0216825,5.421682499999999,-0.005925,-0.0230415,-741.044983,14.521680499999999,2.310232,1629.744985,0.0
0.2905,0.4,0.0002365,0.0287285,1.308809,0.0,0,359.99938899999995,91.0448305,3780.7678245,2.0,0.021678,5.421678,-0.0059255,0.028206000000000002,-741.0448305,14.521676,2.310232,1629.744985,0.0
0.3235,0.433333,0.0002145,0.029732500000000002,1.308809,0.0,0,359.9991955,91.04342650000001,1743.3620099999998,2.0,0.0216755,5.421675499999999,-0.005926,0.0522475,-741.0434265,14.5216735,2.310232,1629.744985,0.0
0.357,0.466666,4.3e-05,0.019351,1.308809,0.0,0,359.9991045,91.04177849999999,2263.4162460000002,2.0,0.0216745,5.4216745,-0.005927,0.0412915,-741.0417785,14.521672500000001,2.310232,1629.744985,0.0
0.391,0.499999,-0.000147,0.003434,1.308809,0.0,0,359.9991635,91.04092449999999,7712.45561,2.0,0.0216765,5.4216765,-0.005927,0.007229,-741.0409245000001,14.5216745,2.310232,1629.744985,0.0
0.424,0.533333,-0.00022,-0.00903,1.308809,0.0,0,359.99931749999996,91.0412905,10000.0,2.0,0.0216795,5.4216795,-0.005927,-0.026243000000000002,-741.0412905000001,14.5216775,2.310232,1629.744985,0.0
0.448,0.566666,-0.000189,-0.012448,1.308809,0.0,0,359.999422,91.042053,10000.0,2.0,0.021681,5.421681,-0.005927,-0.038195,-741.042053,14.521679,2.310232,1629.744985,0.0
0.465,1.066666,-3.1e-05,-0.000906,1.308809,0.0,0,359.999356,91.042419,10000.0,2.0,0.02168,5.42168,-0.005929,-0.010453,-741.042419,14.521678,2.310232,1629.744985,0.0
0.4905,1.099999,1.9999999999999995e-06,0.000874,1.308809,0.0,0,359.999372,91.04269450000001,10000.0,2.0,0.02168,5.42168,-0.005929,-0.0086145,-741.0426944999999,14.521678,2.310232,1629.744985,0.0
